"Row ID","Order ID","Order Date","Customer ID","City","State","Postal Code","Region","Product ID","Category","Sub-Category","Price"
1,"CA-2016-152156",11/8/2016,"CG-12520","Henderson","Kentucky",42420,"South","FUR-BO-10001798","Furniture","Bookcases",261.96
2,"CA-2016-152156",11/8/2016,"CG-12520","Henderson","Kentucky",42420,"South","FUR-CH-10000454","Furniture","Chairs",731.94
3,"CA-2016-138688",6/12/2016,"DV-13045","Los Angeles","California",90036,"West","OFF-LA-10000240","Office Supplies","Labels",14.62
4,"US-2015-108966",10/11/2015,"SO-20335","Fort Lauderdale","Florida",33311,"South","FUR-TA-10000577","Furniture","Tables",957.58
5,"US-2015-108966",10/11/2015,"SO-20335","Fort Lauderdale","Florida",33311,"South","OFF-ST-10000760","Office Supplies","Storage",22.37
6,"CA-2014-115812",6/9/2014,"BH-11710","Los Angeles","California",90032,"West","FUR-FU-10001487","Furniture","Furnishings",48.86
7,"CA-2014-115812",6/9/2014,"BH-11710","Los Angeles","California",90032,"West","OFF-AR-10002833","Office Supplies","Art",7.28
8,"CA-2014-115812",6/9/2014,"BH-11710","Los Angeles","California",90032,"West","TEC-PH-10002275","Technology","Phones",907.15
9,"CA-2014-115812",6/9/2014,"BH-11710","Los Angeles","California",90032,"West","OFF-BI-10003910","Office Supplies","Binders",18.50
10,"CA-2014-115812",6/9/2014,"BH-11710","Los Angeles","California",90032,"West","OFF-AP-10002892","Office Supplies","Appliances",114.90
11,"CA-2014-115812",6/9/2014,"BH-11710","Los Angeles","California",90032,"West","FUR-TA-10001539","Furniture","Tables",1706.18
12,"CA-2014-115812",6/9/2014,"BH-11710","Los Angeles","California",90032,"West","TEC-PH-10002033","Technology","Phones",911.42
13,"CA-2017-114412",4/15/2017,"AA-10480","Concord","North Carolina",28027,"South","OFF-PA-10002365","Office Supplies","Paper",15.55
14,"CA-2016-161389",12/5/2016,"IM-15070","Seattle","Washington",98103,"West","OFF-BI-10003656","Office Supplies","Binders",407.98
15,"US-2015-118983",11/22/2015,"HP-14815","Fort Worth","Texas",76106,"Central","OFF-AP-10002311","Office Supplies","Appliances",68.81
16,"US-2015-118983",11/22/2015,"HP-14815","Fort Worth","Texas",76106,"Central","OFF-BI-10000756","Office Supplies","Binders",2.54
17,"CA-2014-105893",11/11/2014,"PK-19075","Madison","Wisconsin",53711,"Central","OFF-ST-10004186","Office Supplies","Storage",665.88
18,"CA-2014-167164",5/13/2014,"AG-10270","West Jordan","Utah",84084,"West","OFF-ST-10000107","Office Supplies","Storage",55.50
19,"CA-2014-143336",8/27/2014,"ZD-21925","San Francisco","California",94109,"West","OFF-AR-10003056","Office Supplies","Art",8.56
20,"CA-2014-143336",8/27/2014,"ZD-21925","San Francisco","California",94109,"West","TEC-PH-10001949","Technology","Phones",213.48
21,"CA-2014-143336",8/27/2014,"ZD-21925","San Francisco","California",94109,"West","OFF-BI-10002215","Office Supplies","Binders",22.72
22,"CA-2016-137330",12/9/2016,"KB-16585","Fremont","Nebraska",68025,"Central","OFF-AR-10000246","Office Supplies","Art",19.46
